donor_code,donor_name,year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati
5,Germany,2020,LBN,1.823362,1.25543
5,Germany,2020,LBR,0.051937,
5,Germany,2020,MAR,0.022084,
5,Germany,2020,MDG,0.011822,0.011839458158
5,Germany,2020,MEX,2.060221,
5,Germany,2020,MMR,0.394207,0.2474657964
5,Germany,2020,MNE,0.004558,0.0045652
5,Germany,2020,MNG,0.013204,0.013223775167
5,Germany,2020,MOZ,,-0.005071800244
5,Germany,2020,NAM,4.800168,
5,Germany,2020,NGA,2.716557,3.4816258127
5,Germany,2020,NIC,,0.196668291002
5,Germany,2020,NPL,0.03851,0.038567756879
5,Germany,2020,PAK,0.05037,
5,Germany,2020,PER,0.415422,
5,Germany,2020,PHL,0.576578,12.179395607017
5,Germany,2020,PRY,0.007162,
5,Germany,2020,PSE,3.988604,
5,Germany,2020,SLV,2.130729,
5,Germany,2020,SOM,1.709402,1.71195
5,Germany,2020,SYR,28.490028,28.5325
5,Germany,2020,TCD,0.734808,1.02840351704
5,Germany,2020,TON,0.051265,
5,Germany,2020,TUR,4.253481,4.259822359
5,Germany,2020,UGA,0.180057,
5,Germany,2020,UKR,4.558405,
5,Germany,2020,ZAF,1.575749,
5,Germany,2020,ZWE,0.051742,
5,Germany,2021,A7_X,,0.042270134535
5,Germany,2021,ARG,0.326259,0.48798072
5,Germany,2021,ARM,5.816903,
5,Germany,2021,BDI,0.591296,0.59175
5,Germany,2021,BEN,0.005409,0.005412701745
5,Germany,2021,BFA,0.028422,0.026286043905
5,Germany,2021,BGD,1.26246,
5,Germany,2021,BIH,16.757111,0.068555421
5,Germany,2021,BLR,0.045299,0.04533384915
5,Germany,2021,BOL,0.060818,
5,Germany,2021,BRA,2.239375,0.455821036605
5,Germany,2021,CHN,0,
5,Germany,2021,CMR,0.12027,1.14892937325
5,Germany,2021,COD,0.467846,
5,Germany,2021,COL,2.547168,
5,Germany,2021,DPGC_X,0.323275,
5,Germany,2021,ECU,0.026074,0.026093299095
5,Germany,2021,EGY,0.819074,
5,Germany,2021,ETH,,0.38454883218
5,Germany,2021,E_X,0.203,
5,Germany,2021,F3_X,0.157025,
5,Germany,2021,F4_X,7.033773,
5,Germany,2021,F6_X,2.380053,0.042270134535
5,Germany,2021,F97_X,2.321155,8.35412059467
5,Germany,2021,F_X,3.719809,
5,Germany,2021,GEO,3.555961,11.843190092205
5,Germany,2021,GTM,0.207485,0.017325220995
5,Germany,2021,HND,0.150999,
5,Germany,2021,HTI,0.02918,
5,Germany,2021,IDN,0.053217,
5,Germany,2021,IND,5.497172,0.402321357
5,Germany,2021,IRN,0.024978,
5,Germany,2021,IRQ,3.241969,1.673159928975
5,Germany,2021,KEN,0.635123,0.348292215
5,Germany,2021,KGZ,5.602692,
5,Germany,2021,LBN,,69.5898
5,Germany,2021,LBR,0.009396,
5,Germany,2021,MAR,0.039708,
5,Germany,2021,MEX,2.567625,
5,Germany,2021,MMR,0.629129,0.6284278485
5,Germany,2021,MNG,0.003548,
5,Germany,2021,NAM,9.057479,
5,Germany,2021,NGA,0.43124,1.580855071455
5,Germany,2021,PAK,,0.364518
5,Germany,2021,PER,0.194659,0.26611648425
5,Germany,2021,PHL,0.03784,
5,Germany,2021,PRY,0.016957,0.246806084025
5,Germany,2021,PSE,17.738883,5.9175
5,Germany,2021,RWA,0.030542,0.03056563908
