year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2020,SYR,213.216765,385.171116149758,194.869218,445.242768534128,-60.0716523843698,285.334456099244,210.365185398531,360.303726799957
2021,SYR,190.137157,149.22618203014,213.216765,385.171116149758,-235.944934119618,443.930487806596,380.083246939079,507.777728674114
2022,SYR,180.355448,146.468066113,190.137157,149.22618203014,-2.7581159171398,437.33896873466,409.989049325479,464.688888143841
2023,SYR,424.658744187762,108.0361536875,180.355448,146.468066113,-38.4319124255,424.658744187762,399.366043503443,449.951444872081
2018,MOZ,6.076563,19.8044692521113,,,,,,
2019,MOZ,15.059279,8.23073440643067,6.076563,19.8044692521113,-11.5737348456807,-7.07489936739691,-14.9343496478856,0.78455091309178
2020,MOZ,16.846179,19.31685970039,15.059279,8.23073440643067,11.0861252939593,17.40097539438,9.73678924293117,25.0651615458288
2021,MOZ,13.692319,24.020793006085,16.846179,19.31685970039,4.70393330569495,17.9723762874303,10.2311743946502,25.7135781802104
2022,MOZ,12.0232,10.2422473891567,13.692319,24.020793006085,-13.7785456169283,13.0242662517132,5.02849357284617,21.0200389305802
2023,MOZ,13.2297606460329,6.1437065178115,12.0232,10.2422473891567,-4.09854087134517,13.2297606460329,5.68425768043543,20.7752636116305
2018,MWI,9.325702,8.12383871830133,,,,,,
2019,MWI,3.681037,2.03894417373641,9.325702,8.12383871830133,-6.08489454456492,7.57198922708513,-0.073674658074685,15.2176531122449
2020,MWI,3.437817,2.48661038030401,3.681037,2.03894417373641,0.447666206567601,-7.33381290585008,-15.0110161139621,0.3433903022619
2021,MWI,3.928346,3.68942656787497,3.437817,2.48661038030401,1.20281618757095,-8.60846357239094,-16.262301627262,-0.954625517519886
2022,MWI,3.899756,4.17084713962067,3.928346,3.68942656787497,0.481420571745698,-7.68133148391211,-15.3065064422324,-0.0561565255918151
2023,MWI,-7.83179600728634,4.0362896484,3.899756,4.17084713962067,-0.134557491220667,-7.83179600728634,-15.4536267246258,-0.209965289946918
2018,NGA,133.286894,73.2135575931687,,,,,,
2019,NGA,112.728391,51.6021642840431,133.286894,73.2135575931687,-21.6113933091256,329.132227634258,314.44535677627,343.819098492246
2020,NGA,120.906427,53.901962110248,112.728391,51.6021642840431,2.29979782620491,274.4488506687,262.259526105696,286.638175231704
2021,NGA,98.777385,55.4429349632183,120.906427,53.901962110248,1.5409728529703,296.825300596645,284.126159543976,309.524441649313
2022,NGA,34.524365,26.0268069657802,98.777385,55.4429349632183,-29.4161279974381,244.058991960473,232.059248633669,256.058735287277
2023,NGA,68.3627808582325,20.978052120081,34.524365,26.0268069657802,-5.04875484569917,68.3627808582325,60.4089408887736,76.3166208276915
2018,E_X,40.330791,1.88058953,,,,,,
2019,E_X,59.199313,2.74217675,40.330791,1.88058953,0.86158722,98.1128997413017,90.1943071283561,106.031492354247
2020,E_X,30.576927,8.122696,59.199313,2.74217675,5.38051925,150.145200773394,141.819018316605,158.471383230182
2021,E_X,10.75229,7.757436258,30.576927,8.122696,-0.365259741999999,66.5483820505479,58.9646920457367,74.1320720553592
2022,E_X,89.915017,18.205886859,10.75229,7.757436258,10.448450601,5.5477320961297,-2.10798177373963,13.203445965999
2023,E_X,233.409900614265,11.514271012535,89.915017,18.205886859,-6.691615846465,233.409900614265,223.974111205681,242.845690022849
2018,PAK,85.177856,34.90758575735,,,,,,
2019,PAK,78.988508,15.2443538925279,85.177856,34.90758575735,-19.6632318648221,214.175789959288,204.209593079808,224.141986838769
2020,PAK,38.765947,0.700676465909014,78.988508,15.2443538925279,-14.5436774266189,206.855003169516,197.506738215889,216.203268123144
2021,PAK,15.170618,2.3059431494593,38.765947,0.700676465909014,1.60526668355029,94.0699811447184,86.1439356249388,101.996026664498
2022,PAK,58.818772,25.6458999120559,15.170618,2.3059431494593,23.3399567625966,16.7617734053928,8.43319449958849,25.0903523111971
2023,PAK,138.989005233925,19.4354933423847,58.818772,25.6458999120559,-6.21040656967125,138.989005233925,130.606203961977,147.371806505872
2018,PSE,127.127385,16.6685,,,,,,
2019,PSE,93.28738,25.7783899834777,127.127385,16.6685,9.10988998347775,335.428214695049,324.126279837428,346.73014955267
2020,PSE,21.202473,472.688608683904,93.28738,25.7783899834777,446.910218700426,63.7342413749505,-19.3063861043959,146.774868854297
2021,PSE,62.192795,51.6652092146288,21.202473,472.688608683904,-421.023399469275,-93.0876915443142,-180.012622752967,-6.16276033566193
2022,PSE,41.127943,168.94294343114,62.192795,51.6652092146288,117.277734216511,84.6765446056056,58.2997245230155,111.053364688196
2023,PSE,40.8964905291795,49.2146990793145,41.127943,168.94294343114,-119.728244351826,40.8964905291795,12.1143281122464,69.6786529461126
2018,BDI,6.207263,2.838866932,,,,,,
2019,BDI,1.079026,0.848744303777746,6.207263,2.838866932,-1.99012262822225,0.369646240516353,-7.31566140778069,8.05495388881339
2020,BDI,4.540889,2.75515974310401,1.079026,0.848744303777746,1.90641543932627,-14.631174331654,-22.350914847855,-6.91143381545291
2021,BDI,2.612962,4.7275998238398,4.540889,2.75515974310401,1.97244008073579,-5.89947478394645,-13.5283603184564,1.72941075056352
2022,BDI,4.37453,5.4345519138,2.612962,4.7275998238398,0.706952089960197,-12.2130424724601,-19.8227755353572,-4.60330940956296
2023,BDI,-6.1278804279924,2.3422074315,4.37453,5.4345519138,-3.0923444823,-6.1278804279924,-13.7748334913127,1.51907263532791
2018,COD,28.427827,9.3727423264,,,,,,
2019,COD,27.37645,18.2036606957907,28.427827,9.3727423264,8.83091836939074,56.0296432832477,48.4044698074319,63.6548167590636
2020,COD,56.817015,46.125618019355,27.37645,18.2036606957907,27.9219573235643,40.0560749813685,30.7034698737066,49.4086800890305
2021,COD,68.121752,48.7897259762141,56.817015,46.125618019355,2.66410795685904,116.825886095685,106.705606320074,126.946165871296
2022,COD,78.380715,44.9241218200435,68.121752,48.7897259762141,-3.86560415617056,150.193455245481,139.853670329205,160.533240161756
2023,COD,182.900452960928,39.1799412554968,78.380715,44.9241218200435,-5.7441805645467,182.900452960928,172.730539911395,193.07036601046
2018,IRQ,118.163332,92.055708540925,,,,,,
2019,IRQ,89.507664,146.14722376469,118.163332,92.055708540925,54.0915152237648,244.511980989327,222.050213581418,266.973748397235
2020,IRQ,77.347568,117.166999159249,89.507664,146.14722376469,-28.9802246054408,159.695991149023,135.687664282469,183.704318015578
2021,IRQ,70.486304,62.8494272608148,77.347568,117.166999159249,-54.3175718984342,152.816494672695,133.597699467599,172.035289877792
2022,IRQ,39.080038,48.70010188851,70.486304,62.8494272608148,-14.1493253723048,152.044036668592,140.295384538336,163.792688798849
2023,IRQ,45.7724459357392,99.06919195725,39.080038,48.70010188851,50.36909006874,45.7724459357392,30.3508108355085,61.1940810359698
2018,JOR,17.213249,2.781560759707,,,,,,
