year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2019,16030,IND,3.468642,0,3.10445,0,0,18.2510886016995,15.3960014556507,21.1061757477482
2020,16030,IND,4.887194,0.0207661248,3.468642,0,0.0207661248,18.3237869436286,15.466372137158,21.1812017500992
2021,16030,IND,0.587016,0.02204641792,4.887194,0.0207661248,0.00128029312,18.5244871617127,15.669930015012,21.3790443084134
2022,16030,IND,1.502685,0,0.587016,0.02204641792,-0.02204641792,18.0292017636406,15.1372798366011,20.9211236906801
2023,16030,IND,18.1686219138033,0,1.502685,0,0,18.1686219138033,15.2745009892358,21.0627428383708
2010,16040,IND,2.315793,-4.366276e-06,,,,,,
2011,16040,IND,7.302364,0,2.315793,-4.366276e-06,4.366276e-06,18.2982291975933,15.4209610365482,21.1754973586383
2012,16040,IND,4.858068,19.719505279264,7.302364,0,19.719505279264,19.226345640732,16.3744036959482,22.0782875855158
2013,16040,IND,4.504816,0.391533070452,4.858068,19.719505279264,-19.327972208812,18.712293836432,15.8506637811531,21.5739238917109
2014,16040,IND,5.369059,0.586095995232,4.504816,0.391533070452,0.19456292478,18.6583362670166,15.8120037271827,21.5046688068504
2015,16040,IND,5.775717,0.099864,5.369059,0.586095995232,-0.486231995232,18.7847350712556,15.9461619656781,21.6233081768331
2016,16040,IND,5.662056,0.390230217806,5.775717,0.099864,0.290366217806,18.8655552140252,16.0304774031179,21.7006330249324
2017,16040,IND,298.011488,0.8660658165,5.662056,0.390230217806,0.475835598694,18.8875334547537,16.0515927759601,21.7234741335472
2018,16040,IND,5.754565,0,298.011488,0.8660658165,-0.8660658165,54.4636095693692,44.9957249680254,63.9314941707129
2019,16040,IND,0.964433,0.2587934471,5.754565,0,0.2587934471,18.945082001485,16.1043175166499,21.7858464863201
2020,16040,IND,75.399399,0.1401756862,0.964433,0.2587934471,-0.1186177609,18.3893231805919,15.51120328113,21.2674430800538
2021,16040,IND,1.013935,0.69685767184,75.399399,0.1401756862,0.55668198564,27.4793178407354,24.1692864287479,30.7893492527229
2022,16040,IND,0.531588,3.8099419386,1.013935,0.69685767184,3.11308426676,18.5070946313622,15.6159984548501,21.3981908078743
2023,16040,IND,18.6284326058012,13.56310013,0.531588,3.8099419386,9.7531581914,18.6284326058012,15.721733875125,21.5351313364774
2010,16030,PHL,0.038035,0,,,,,,
2011,16030,PHL,0.060209,0,0.038035,0,0,-0.153990713198027,-2.96329887002537,2.65531744362931
2012,16030,PHL,0.06722,0,0.060209,0,0,-0.123202697336481,-2.9251052254016,2.67869983072863
2013,16030,PHL,0.023322,0,0.06722,0,0,-0.094259028742691,-2.89022103750765,2.70170298002226
2014,16030,PHL,0.086443,0,0.023322,0,0,-0.0715076621375772,-2.86300223761912,2.71998691334397
2015,16030,PHL,0.01524,0,0.086443,0,0,-0.0357390693735056,-2.82425660578884,2.75277846704183
